iter	Accuracy	Logloss
0	0.6091818439	0.6907893934
1	0.6115410022	0.6884782699
2	0.6122959328	0.6863779417
3	0.6167783335	0.6842424506
4	0.6156931207	0.6823520379
5	0.6165896008	0.6806674154
6	0.6188543928	0.6786570741
7	0.6206001699	0.67707002
8	0.6196093234	0.6756276839
9	0.6187600264	0.6739725913
10	0.6197036897	0.6723999187
11	0.6207417194	0.6710609138
12	0.620930452	0.6697269055
13	0.6202227045	0.6684003487
14	0.6202698877	0.667371337
15	0.6193262244	0.666499488
16	0.6183353779	0.6656569194
17	0.6189015759	0.6646161217
18	0.6194205907	0.6636881785
19	0.6197980561	0.6629216092
20	0.6210248183	0.6620348174
21	0.6207417194	0.6612379746
22	0.6213551005	0.6604009906
23	0.6208832688	0.6593498787
24	0.6219212985	0.6585085392
25	0.6219684816	0.6577552818
26	0.6219212985	0.6572304163
27	0.6219212985	0.6566199078
28	0.6231008776	0.6558595481
29	0.6231480608	0.6552210781
30	0.6225818628	0.6546086791
31	0.6225346796	0.6540336665
32	0.6224874965	0.653474735
33	0.6225346796	0.6529131461
34	0.6224403133	0.6522739794
35	0.6228649618	0.6515436002
36	0.6237614419	0.6510390328
37	0.6237614419	0.6503920967
38	0.6233367934	0.649935545
39	0.6238086251	0.649288069
40	0.6239029914	0.6488732479
41	0.6236198924	0.6484192151
42	0.6244691894	0.6478440326
43	0.6241860904	0.6473265574
44	0.6243276399	0.6468841381
45	0.6249882042	0.6465295196
46	0.62522412	0.6460837828
47	0.624941021	0.6457182816
48	0.6255544022	0.6451332456
49	0.6255544022	0.6447628323
50	0.6254128527	0.6444380038
51	0.625790318	0.64404396
52	0.626073417	0.64371402
53	0.6262621497	0.6434953079
54	0.626356516	0.6431252324
55	0.6270642635	0.6427050164
56	0.6274417288	0.6422244938
57	0.6272529961	0.6419149257
58	0.6276776446	0.641568379
59	0.6280551099	0.6410218205
60	0.6287628574	0.6406350175
61	0.6289044069	0.6403599539
62	0.6296121544	0.6399552489
63	0.6296121544	0.6396791318
64	0.6298952534	0.6393871815
65	0.6301311692	0.6391806143
66	0.630083986	0.6388602265
67	0.630367085	0.6386396415
68	0.6301311692	0.6382729492
69	0.6305086345	0.6379542481
70	0.6305086345	0.6375138855
71	0.6306973672	0.6371936917
72	0.6310276493	0.6369988067
73	0.6315938473	0.6366613414
74	0.6319241295	0.6362881177
75	0.6321128621	0.6360406057
76	0.6325375106	0.6358488828
77	0.6331508918	0.6354448566
78	0.6331980749	0.6352756551
79	0.6338586392	0.6348556912
80	0.6342832877	0.6345182473
81	0.6348966689	0.6341717977
82	0.6348023025	0.6339055062
83	0.634943852	0.6335144995
84	0.6351797679	0.6332549289
85	0.6354156837	0.6330677622
86	0.6359346985	0.632874523
87	0.6364065302	0.6326471576
88	0.6367839955	0.6324437431
89	0.636642446	0.6322469284
90	0.6367368123	0.6319920421
91	0.6370199113	0.6318056214
92	0.6373030103	0.6315107966
93	0.6378220251	0.6313239078
94	0.6382938568	0.6310961967
95	0.6382938568	0.6308842367
96	0.6384825894	0.6306957161
97	0.6387185052	0.6305503195
98	0.6389544211	0.6303375826
99	0.6394734359	0.6300936759
100	0.6394262527	0.6298472844
101	0.6398509012	0.6296720062
102	0.6397565349	0.6294530202
103	0.640086817	0.62929904
104	0.640369916	0.6290756584
105	0.6409832972	0.6288183754
106	0.641219213	0.6286759064
107	0.6414551288	0.6283589405
108	0.6414551288	0.6280302345
109	0.6417382278	0.627838771
110	0.6416910446	0.6277008484
111	0.6416910446	0.6275069916
112	0.6419269605	0.627318092
113	0.6423516089	0.6271241426
114	0.6418325941	0.6268486366
115	0.64206851	0.626550103
116	0.6421628763	0.6263153202
117	0.6421628763	0.6261013596
118	0.6422100595	0.6259067896
119	0.6427762574	0.6256115093
120	0.6437199207	0.6251231698
121	0.6442861187	0.6249367226
122	0.6443333019	0.6246998303
123	0.6447579504	0.6245350603
124	0.644663584	0.6243445616
125	0.644946683	0.6241495071
126	0.6454185147	0.6239924837
127	0.6455600642	0.6238637464
128	0.6458431632	0.623589093
129	0.646079079	0.6234182784
130	0.6461734453	0.6232877251
131	0.6461262621	0.6231082476
132	0.6465980938	0.6228956536
133	0.6471171086	0.6227574593
134	0.6471642918	0.6226233088
135	0.6474002076	0.6224028158
136	0.6480607719	0.6222261922
137	0.6482495046	0.6221515283
138	0.6486269699	0.6219598746
139	0.6485797867	0.6217617684
140	0.6491931679	0.6215773552
141	0.6493819005	0.6213327353
142	0.6496649995	0.6209974386
143	0.649806549	0.6208286125
144	0.6499009154	0.6207160067
145	0.650089648	0.620580809
146	0.6503255638	0.6204428352
147	0.6503255638	0.6202882933
148	0.6506086628	0.6200298822
149	0.6511276776	0.6198226325
150	0.6513164103	0.6195604821
151	0.6513164103	0.6194511923
152	0.6513635935	0.6192031042
153	0.6514107766	0.6190197451
154	0.6519297915	0.6187857605
155	0.6523072568	0.6184346881
156	0.6520713409	0.6183419867
157	0.6522128904	0.6182369221
158	0.6525431726	0.6181174052
159	0.6524016231	0.6179715451
160	0.6528262716	0.6176592586
161	0.6527790884	0.6175234682
162	0.6529206379	0.6172751536
163	0.6532509201	0.6171690317
164	0.6532509201	0.6170687393
165	0.6536755686	0.6168769493
166	0.6539114844	0.6167182394
167	0.654100217	0.6165260468
168	0.6545248655	0.6163559348
169	0.6543361329	0.6162082831
170	0.6548079645	0.6160366211
171	0.655232613	0.6158737052
172	0.6554685288	0.615663192
173	0.6557044447	0.6153366774
174	0.6556100783	0.6152141508
175	0.6560347268	0.6150742113
176	0.6563178258	0.6149764862
177	0.6564121921	0.6147914443
178	0.6564121921	0.6146817264
