iter	Passed	Remaining
0	215	215480
1	329	164275
2	435	144631
3	569	141847
4	706	140685
5	827	137149
6	971	137845
7	1131	140292
8	1236	136189
9	1327	131373
10	1433	128887
11	1545	127220
12	1654	125641
13	1781	125435
14	1875	123127
15	1978	121681
16	2107	121853
17	2199	119995
18	2267	117070
19	2345	114950
20	2493	116256
21	2582	114815
22	2686	114132
23	2788	113419
24	2890	112712
25	2972	111348
26	3065	110483
27	3163	109815
28	3257	109085
29	3324	107478
30	3437	107440
31	3499	105868
32	3610	105812
33	3677	104470
34	3780	104240
35	3891	104197
36	3982	103665
37	4126	104467
38	4222	104051
39	4348	104361
40	4448	104060
41	4546	103695
42	4618	102798
43	4714	102441
44	4833	102578
45	4927	102183
46	4995	101299
47	5073	100615
48	5148	99913
49	5238	99532
50	5328	99159
51	5427	98939
52	5524	98712
53	5601	98133
54	5701	97961
55	5812	97981
56	5910	97774
57	5978	97098
58	6051	96510
59	6137	96151
60	6211	95609
61	6304	95388
62	6420	95495
63	6522	95388
64	6629	95369
65	6752	95554
66	6856	95482
67	6980	95676
68	7053	95167
69	7117	94563
70	7185	94013
71	7264	93631
72	7322	92983
73	7409	92722
74	7474	92189
75	7562	91942
76	7640	91588
77	7700	91022
78	7817	91134
79	7975	91719
80	8047	91306
81	8124	90952
82	8196	90559
83	8292	90423
84	8383	90242
85	8480	90125
86	8589	90143
87	8700	90167
88	8785	89928
89	8877	89762
90	8961	89514
91	9031	89138
92	9112	88876
93	9207	88747
94	9302	88618
95	9412	88632
96	9493	88378
97	9610	88452
98	9692	88214
99	9785	88071
100	9867	87834
101	9943	87545
102	10028	87336
103	10111	87111
104	10205	86990
105	10258	86523
106	10336	86269
107	10413	86006
108	10488	85738
109	10572	85542
110	10661	85390
111	10758	85298
112	10847	85145
113	10927	84926
114	11016	84775
115	11090	84515
116	11178	84363
117	11259	84156
118	11333	83904
119	11404	83636
120	11482	83416
121	11547	83107
122	11634	82952
123	11701	82664
124	11783	82485
125	11858	82254
126	11937	82059
127	12018	81874
128	12102	81717
129	12169	81440
130	12252	81278
131	12335	81112
132	12419	80959
133	12487	80705
134	12570	80542
135	12632	80254
136	12689	79933
137	12750	79646
138	12840	79537
139	12931	79435
140	13010	79262
141	13100	79156
